SURNUM ID,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Gender,Citizenship,Region,Medalist,School,HS Type,SAT Verbal,SAT Math,SAT Score,ACT Composite,,Registered Spr 14,201309_INST_TERM_GPA,201401_INST_TERM_GPA,CURRENT_TOTAL_INST_GPA_May_2014,Returned Fall 2014,Returned Spring 2015,Fall 2014 GPA,CURRENT_TOTAL_INST_GPA_Fall_2014,,,,,,,,,,,,,,,,,
1,1,1,2,2,1,1,1,2,2,2,5,4,4,3,4,5,2,3,4,3,2,3,3,4,4,5,4,1,1,4,5,5,2,4,5,1,3,Northeast,1,2,Public,,,,26,,1,2.67,2.90,2.79,1,,1.50,2.37,,,,,,,,,,,,,,,,,
2,2,2,1,2,1,1,1,1,2,1,5,5,4,4,1,5,2,5,5,5,1,3,5,4,3,5,3,2,2,2,5,4,4,2,4,2,3,Northeast,2,2,Public,660,690,1350,,,1,4.00,3.92,3.96,1,1,3.93,3.95,,,,,,,,,,,,,,,,,
3,2,3,5,1,1,3,2,2,1,2,5,2,5,2,1,5,3,3,5,5,1,1,1,5,3,4,5,2,2,3,,4,5,4,5,2,3,Non-Northeast,2,6,,,,,27,,1,2.12,0.50,1.58,1,,0.00,1.06,,,,,,,,,,,,,,,,,
4,2,2,5,1,1,1,2,1,1,1,1,4,3,4,1,5,2,5,4,4,1,2,5,5,3,3,3,2,4,4,5,4,2,3,4,2,3,Northeast,2,2,Public,730,800,1530,,,1,3.67,3.18,3.45,1,1,3.20,3.33,,,,,,,,,,,,,,,,,
5,2,2,1,2,2,1,2,1,3,1,5,5,4,4,1,5,2,5,5,5,1,2,5,3,3,4,3,3,4,3,5,2,1,3,3,2,3,Northeast,2,6,Public,760,780,1540,,,1,4.00,3.70,3.82,1,1,3.60,3.77,,,,,,,,,,,,,,,,,
6,2,2,1,3,2,1,2,2,2,1,5,5,3,4,1,5,5,4,5,5,1,4,5,5,3,3,4,1,1,2,5,5,3,1,2,2,3,Northeast,1,2,Public,700,660,1360,,,1,2.78,2.89,2.83,1,1,2.25,2.65,,,,,,,,,,,,,,,,,
7,2,1,1,3,2,4,2,2,2,1,5,4,3,3,1,4,3,5,3,3,,,,,2,3,4,1,1,3,5,3,1,4,5,1,3,Northeast,2,1,Private,720,650,1370,,,1,3.36,3.81,3.61,,,0.00,3.11,,,,,,,,,,,,,,,,,
8,2,2,5,1,1,1,1,1,1,2,4,5,3,4,1,5,4,4,5,5,1,2,5,3,4,4,1,3,3,1,5,3,2,2,4,2,3,Northeast,1,7,Public,750,790,1540,,,1,3.67,3.92,3.79,1,1,4.00,3.87,,,,,,,,,,,,,,,,,
9,3,4,5,4,1,2,4,2,3,3,4,4,3,3,1,3,1,5,4,5,3,2,5,3,3,4,3,3,4,5,5,2,5,3,4,2,3,Non-Northeast,2,2,Public,680,740,1420,,,1,3.68,2.62,3.19,1,1,2.53,2.99,,,,,,,,,,,,,,,,,
10,2,2,5,1,2,2,3,3,2,1,5,2,4,3,1,5,4,4,5,5,3,2,5,5,2,5,3,2,5,5,5,3,5,5,5,1,3,Northeast,2,3,Parochial,650,570,1220,,,1,3.17,3.75,3.46,1,1,3.80,3.60,,,,,,,,,,,,,,,,,
